Timestamp,Code,Alert_Reason
2024-10-15_20-16-34,1,Distance Below Threshold
2024-10-15_20-16-35,1,Distance Below Threshold
2024-10-15_20-16-35,1,Distance Below Threshold
2024-10-15_20-16-37,1,Distance Below Threshold
2024-10-15_20-16-41,0,Acceleration Threshold Exceeded
2024-10-15_20-16-42,0,Acceleration Threshold Exceeded
2024-10-15_20-16-44,0,Acceleration Threshold Exceeded
2024-10-15_20-16-46,1,Distance Below Threshold
2024-10-15_20-16-48,1,Distance Below Threshold
2024-10-15_20-16-49,1,Distance Below Threshold
